FY14,JOIN14,COUNTY14,CODISTSCH14,SCHOOLNAME14,SCHOOLTYPE14,GRADE14,ENROLLED14,FREEREDUCED14,PERCENT14,WARNING14,CEP14
2014-2015,LINCOLN-CODY ELEMENTARY SCHOOL,LINCOLN,560001005,CODY ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,271,148,0.5461,,
2014-2015,LINCOLN-JEFFERSON ELEMENTARY SCHOOL,LINCOLN,560001006,JEFFERSON ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,400,281,0.7025,,
2014-2015,LINCOLN-LINCOLN ELEMENTARY SCHOOL,LINCOLN,560001007,LINCOLN ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,259,201,0.7761,,
2014-2015,LINCOLN-WASHINGTON ELEMENTARY SCHOOL,LINCOLN,560001009,WASHINGTON ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,288,150,0.5208,,
2014-2015,LINCOLN-MC DONALD ELEMENTARY SCHOOL,LINCOLN,560001010,MC DONALD ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,275,69,0.2509,,
2014-2015,LINCOLN-EISENHOWER ELEMENTARY SCHOOL,LINCOLN,560001011,EISENHOWER ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,218,60,0.2752,,
2014-2015,LINCOLN-OSGOOD ELEMENTARY SCHOOL,LINCOLN,560001012,OSGOOD ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,126,22,0.1746,,
2014-2015,LINCOLN-HALL SCHOOL,LINCOLN,560001015,HALL SCHOOL,ELEMENTARY                    ,2016-01-05,46,11,0.2391,,
2014-2015,LINCOLN-LAKE MALONEY SCHOOL,LINCOLN,560001016,LAKE MALONEY SCHOOL,ELEMENTARY                    ,K -05,99,,,MASKED DATA,
2014-2015,LINCOLN-BRADY HIGH SCHOOL,LINCOLN,560006001,BRADY HIGH SCHOOL,SECONDARY                     ,2016-07-12,111,29,0.2613,,
2014-2015,LINCOLN-BRADY ELEMENTARY SCHOOL,LINCOLN,560006002,BRADY ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,91,44,0.4835,,
2014-2015,LINCOLN-MAXWELL HIGH SCHOOL,LINCOLN,560007001,MAXWELL HIGH SCHOOL,SECONDARY                     ,2016-07-12,120,36,0.3,,
2014-2015,LINCOLN-MAXWELL ELEMENTARY SCHOOL,LINCOLN,560007002,MAXWELL ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,108,34,0.3148,,
2014-2015,LINCOLN-HERSHEY HIGH SCHOOL,LINCOLN,560037001,HERSHEY HIGH SCHOOL,SECONDARY                     ,2016-07-12,230,53,0.2304,,
2014-2015,LINCOLN-HERSHEY ELEMENTARY SCHOOL,LINCOLN,560037002,HERSHEY ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,289,70,0.2422,,
2014-2015,LINCOLN-SUTHERLAND HIGH SCHOOL,LINCOLN,560055001,SUTHERLAND HIGH SCHOOL,SECONDARY                     ,2016-07-12,151,37,0.245,,
2014-2015,LINCOLN-SUTHERLAND ELEMENTARY SCHOOL,LINCOLN,560055002,SUTHERLAND ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,189,62,0.328,,
2014-2015,LINCOLN-WALLACE HIGH SCHOOL,LINCOLN,560565001,WALLACE HIGH SCHOOL,SECONDARY                     ,2016-07-12,91,20,0.2198,,
2014-2015,LINCOLN-WALLACE ELEMENTARY SCHOOL,LINCOLN,560565002,WALLACE ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,104,26,0.25,,
2014-2015,LINCOLN-OUR REDEEMER LUTHERAN ELEM SCH,LINCOLN,560701001,OUR REDEEMER LUTHERAN ELEM SCH,ELEMENTARY                    ,PK-08,75,,,MASKED DATA,
2014-2015,LINCOLN-ST PATRICK'S JR-SR HIGH SCHOOL,LINCOLN,560702001,ST PATRICK'S JR-SR HIGH SCHOOL,SECONDARY                     ,2016-07-12,188,25,0.133,,
2014-2015,LINCOLN-MC DAID ELEMENTARY SCHOOL,LINCOLN,560702002,MC DAID ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,287,31,0.108,,
2014-2015,LINCOLN-PLATTE VALLEY CHRISTIAN ACADMY,LINCOLN,560706001,PLATTE VALLEY CHRISTIAN ACADMY,ELEMENTARY                    ,PK-08,14,,,MASKED DATA,
2014-2015,LOGAN-STAPLETON HIGH SCHOOL,LOGAN,570501001,STAPLETON HIGH SCHOOL,SECONDARY                     ,2016-07-12,94,36,0.383,,
2014-2015,LOGAN-STAPLETON ELEMENTARY SCHOOL,LOGAN,570501002,STAPLETON ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,120,50,0.4167,,
2014-2015,LOUP-LOUP COUNTY HIGH SCHOOL,LOUP,580025001,LOUP COUNTY HIGH SCHOOL,SECONDARY                     ,2016-07-12,39,17,0.4359,,
2014-2015,LOUP-LOUP COUNTY ELEMENTARY SCHOOL,LOUP,580025002,LOUP COUNTY ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,38,14,0.3684,,
2014-2015,MADISON-MADISON HIGH SCHOOL,MADISON,590001001,MADISON HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,178,110,0.618,,
2014-2015,MADISON-MADISON ELEMENTARY SCHOOL,MADISON,590001002,MADISON ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,202,165,0.8168,,
2014-2015,MADISON-MADISON MIDDLE SCHOOL,MADISON,590001003,MADISON MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-06-08,115,83,0.7217,,
2014-2015,MADISON-MADISON PRESCHOOL,MADISON,590001005,MADISON PRESCHOOL,PREK ONLY                     ,PK-PK,45,27,0.6,,
2014-2015,MADISON-NORFOLK SENIOR HIGH SCHOOL,MADISON,590002001,NORFOLK SENIOR HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,1274,584,0.4584,,
2014-2015,MADISON-NORFOLK JR HIGH SCHOOL,MADISON,590002002,NORFOLK JR HIGH SCHOOL,MIDDLE SCHOOL                 ,2016-07-08,601,303,0.5042,,
2014-2015,MADISON-GRANT ELEMENTARY SCHOOL,MADISON,590002003,GRANT ELEMENTARY SCHOOL,ELEMENTARY                    ,K -04,235,166,0.7064,,
2014-2015,MADISON-JEFFERSON ELEMENTARY SCHOOL,MADISON,590002004,JEFFERSON ELEMENTARY SCHOOL,ELEMENTARY                    ,K -04,267,178,0.6667,,
2014-2015,MADISON-LINCOLN ELEMENTARY SCHOOL,MADISON,590002005,LINCOLN ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-04,229,49,0.214,,
2014-2015,MADISON-WASHINGTON ELEMENTARY SCHOOL,MADISON,590002008,WASHINGTON ELEMENTARY SCHOOL,ELEMENTARY                    ,K -04,254,185,0.7283,,
2014-2015,MADISON-WESTSIDE ELEMENTARY SCHOOL,MADISON,590002009,WESTSIDE ELEMENTARY SCHOOL,ELEMENTARY                    ,K -04,239,154,0.6444,,
2014-2015,MADISON-BEL AIR ELEMENTARY SCHOOL,MADISON,590002010,BEL AIR ELEMENTARY SCHOOL,ELEMENTARY                    ,K -04,273,57,0.2088,,
2014-2015,MADISON-WOODLAND PARK ELEMENTARY SCH,MADISON,590002012,WOODLAND PARK ELEMENTARY SCH,ELEMENTARY                    ,K -04,218,92,0.422,,
2014-2015,MADISON-NORFOLK MIDDLE SCHOOL,MADISON,590002014,NORFOLK MIDDLE SCHOOL,ELEMENTARY                    ,2016-05-06,609,326,0.5353,,
2014-2015,MADISON-BATTLE CREEK HIGH SCHOOL,MADISON,590005001,BATTLE CREEK HIGH SCHOOL,SECONDARY                     ,2016-07-12,213,31,0.1455,,
2014-2015,MADISON-BATTLE CREEK ELEMENTARY SCHOOL,MADISON,590005002,BATTLE CREEK ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,201,53,0.2637,,
2014-2015,MADISON-NEWMAN GROVE HIGH SCHOOL,MADISON,590013001,NEWMAN GROVE HIGH SCHOOL,SECONDARY                     ,2016-07-12,75,38,0.5067,,
2014-2015,MADISON-NEWMAN GROVE ELEMENTARY SCHOOL,MADISON,590013002,NEWMAN GROVE ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,116,62,0.5345,,
2014-2015,MADISON-ELKHORN VALLEY HIGH SCHOOL,MADISON,590080001,ELKHORN VALLEY HIGH SCHOOL,SECONDARY                     ,2016-07-12,118,51,0.4322,,
2014-2015,MADISON-ELKHORN VALLEY ELEMENTARY SCH,MADISON,590080002,ELKHORN VALLEY ELEMENTARY SCH,ELEMENTARY                    ,PK-06,223,71,0.3184,,
2014-2015,MADISON-ST LEONARD'S ELEMENTARY SCHOOL,MADISON,590702001,ST LEONARD'S ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,31,12,0.3871,,
2014-2015,MADISON-TRINITY LUTHERAN ELEM SCHOOL,MADISON,590703001,TRINITY LUTHERAN ELEM SCHOOL,ELEMENTARY                    ,PK-08,60,,,MASKED DATA,
2014-2015,MADISON-NORFOLK CATHOLIC HIGH SCHOOL,MADISON,590704001,NORFOLK CATHOLIC HIGH SCHOOL,SECONDARY                     ,2016-07-12,261,23,0.0881,,
2014-2015,MADISON-SACRED HEART ELEMENTARY,MADISON,590704002,SACRED HEART ELEMENTARY,ELEMENTARY                    ,PK-06,352,54,0.1534,,
2014-2015,MADISON-CHRIST LUTHERAN ELEM SCHOOL,MADISON,590706001,CHRIST LUTHERAN ELEM SCHOOL,ELEMENTARY                    ,PK-08,323,25,0.0774,,
2014-2015,MADISON-ST PAUL'S LUTHERAN ELEM SCHOOL,MADISON,590707001,ST PAUL'S LUTHERAN ELEM SCHOOL,ELEMENTARY                    ,PK-08,103,,,MASKED DATA,
2014-2015,MADISON-ST JOHN LUTHERAN ELEM SCHOOL,MADISON,590708001,ST JOHN LUTHERAN ELEM SCHOOL,ELEMENTARY                    ,PK-08,110,13,0.1182,,
2014-2015,MADISON-KEYSTONE CHRISTIAN ELEMENTARY,MADISON,590712001,KEYSTONE CHRISTIAN ELEMENTARY,ELEMENTARY                    ,PK-06,41,,,MASKED DATA,
2014-2015,MADISON-KEYSTONE CHRISTIAN JR HIGH SCH,MADISON,590712002,KEYSTONE CHRISTIAN JR HIGH SCH,MIDDLE SCHOOL                 ,2016-07-09,10,,,MASKED DATA,
2014-2015,MADISON-LUTHERAN HIGH NORTHEAST,MADISON,590714001,LUTHERAN HIGH NORTHEAST,HIGH SCHOOL                   ,2016-09-12,120,,,MASKED DATA,
2014-2015,MCPHERSON-MC PHERSON COUNTY SECONDARY SCHOOL,MCPHERSON,600090001,MC PHERSON COUNTY SECONDARY SCHOOL,SECONDARY                     ,2016-08-12,37,,,MASKED DATA,
2014-2015,MCPHERSON-TRYON ELEMENTARY,MCPHERSON,600090002,TRYON ELEMENTARY,ELEMENTARY                    ,K -07,45,,,MASKED DATA,
2014-2015,MERRICK-CENTRAL CITY HIGH SCHOOL,MERRICK,610004001,CENTRAL CITY HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,210,71,0.3381,,
2014-2015,MERRICK-CENTRAL CITY MIDDLE SCHOOL,MERRICK,610004002,CENTRAL CITY MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-05-08,202,95,0.4703,,
2014-2015,MERRICK-CENTRAL CITY ELEMENTARY SCHOOL,MERRICK,610004004,CENTRAL CITY ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-04,276,122,0.442,,
2014-2015,MERRICK-PALMER JUNIOR-SENIOR HIGH,MERRICK,610049001,PALMER JUNIOR-SENIOR HIGH,SECONDARY                     ,2016-07-12,122,32,0.2623,,
2014-2015,MERRICK-PALMER ELEMENTARY SCHOOL,MERRICK,610049002,PALMER ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,165,75,0.4545,,
2014-2015,MERRICK-NEBRASKA CHRISTIAN HIGH,MERRICK,610701001,NEBRASKA CHRISTIAN HIGH,HIGH SCHOOL                   ,2016-09-12,124,,,MASKED DATA,
2014-2015,MERRICK-NEBR CHRISTIAN JR HIGH SCHOOL,MERRICK,610701002,NEBR CHRISTIAN JR HIGH SCHOOL,MIDDLE SCHOOL                 ,2016-07-08,30,,,MASKED DATA,
2014-2015,MERRICK-NEBRASKA CHRISTIAN ELEMENTARY,MERRICK,610701003,NEBRASKA CHRISTIAN ELEMENTARY,ELEMENTARY                    ,PK-06,43,,,MASKED DATA,
2014-2015,MERRICK-ZION LUTHERAN ELEMENTARY SCH,MERRICK,610703001,ZION LUTHERAN ELEMENTARY SCH,ELEMENTARY                    ,PK-08,16,,,MASKED DATA,
2014-2015,MORRILL-BAYARD SECONDARY SCHOOL,MORRILL,620021001,BAYARD SECONDARY SCHOOL,SECONDARY                     ,2016-07-12,186,77,0.414,,
2014-2015,MORRILL-BAYARD ELEMENTARY SCHOOL,MORRILL,620021002,BAYARD ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,253,141,0.5573,,
2014-2015,MORRILL-BRIDGEPORT HIGH SCHOOL,MORRILL,620063001,BRIDGEPORT HIGH SCHOOL,SECONDARY                     ,2016-07-12,234,102,0.4359,,
2014-2015,MORRILL-BRIDGEPORT ELEMENTARY SCHOOL,MORRILL,620063002,BRIDGEPORT ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,248,135,0.5444,,
2014-2015,NANCE-FULLERTON HIGH SCHOOL,NANCE,630001001,FULLERTON HIGH SCHOOL,SECONDARY                     ,2016-07-12,134,52,0.3881,,
2014-2015,NANCE-FULLERTON ELEMENTARY SCHOOL,NANCE,630001002,FULLERTON ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,172,59,0.343,,
2014-2015,NANCE-TWIN RIVER SR HIGH SCHOOL,NANCE,630030001,TWIN RIVER SR HIGH SCHOOL,SECONDARY                     ,2016-07-12,205,55,0.2683,,
2014-2015,NANCE-TWIN RIVER ELEM-GENOA,NANCE,630030003,TWIN RIVER ELEM-GENOA,ELEMENTARY                    ,PK-06,209,64,0.3062,,
2014-2015,NANCE-TWIN RIVER ELEM-SILVER CREEK,NANCE,630030004,TWIN RIVER ELEM-SILVER CREEK,ELEMENTARY                    ,K -06,80,26,0.325,,
2014-2015,NEMAHA-HIGH SCHOOL AT JOHNSON,NEMAHA,640023001,HIGH SCHOOL AT JOHNSON,SECONDARY                     ,2016-07-12,120,34,0.2833,,
2014-2015,NEMAHA-ELEMENTARY SCHOOL AT JOHNSON,NEMAHA,640023003,ELEMENTARY SCHOOL AT JOHNSON,ELEMENTARY                    ,PK-06,184,73,0.3967,,
2014-2015,NEMAHA-AUBURN HIGH SCHOOL,NEMAHA,640029001,AUBURN HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,238,79,0.3319,,
2014-2015,NEMAHA-AUBURN MIDDLE SCHOOL,NEMAHA,640029003,AUBURN MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-06-08,180,74,0.4111,,
2014-2015,NEMAHA-CALVERT ELEMENTARY,NEMAHA,640029007,CALVERT ELEMENTARY,ELEMENTARY                    ,PK-05,411,173,0.4209,,
2014-2015,NEMAHA-LITTLE LEARNERS  PRESCHOOL,NEMAHA,640029008,LITTLE LEARNERS  PRESCHOOL,PREK ONLY                     ,PK-PK,37,,,MASKED DATA,
2014-2015,NUCKOLLS-SUPERIOR JR/SR HIGH SCHOOL,NUCKOLLS,650011001,SUPERIOR JR/SR HIGH SCHOOL,SECONDARY                     ,2016-07-12,192,74,0.3854,,
2014-2015,NUCKOLLS-SUPERIOR ELEMENTARY SCHOOL,NUCKOLLS,650011005,SUPERIOR ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,277,134,0.4838,,
2014-2015,NUCKOLLS-SACRED HEART ELEMENTARY SCHOOL,NUCKOLLS,650701001,SACRED HEART ELEMENTARY SCHOOL,ELEMENTARY                    ,K -08,7,,,MASKED DATA,
2014-2015,NUCKOLLS-SANDY CREEK HIGH SCHOOL,NUCKOLLS,652005001,SANDY CREEK HIGH SCHOOL,SECONDARY                     ,2016-09-12,145,50,0.3448,,
2014-2015,NUCKOLLS-SANDY CREEK ELEMENTARY SCHOOL,NUCKOLLS,652005002,SANDY CREEK ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,192,105,0.5469,,
2014-2015,NUCKOLLS-LAWRENCE/NELSON SECONDARY SCH,NUCKOLLS,652005006,LAWRENCE/NELSON SECONDARY SCH,SECONDARY                     ,2016-07-12,108,44,0.4074,,
2014-2015,NUCKOLLS-LAWRENCE/NELSON ELEMENTARY SCH,NUCKOLLS,652005007,LAWRENCE/NELSON ELEMENTARY SCH,ELEMENTARY                    ,K -06,97,50,0.5155,,
2014-2015,NUCKOLLS-CLAY CO LEARNING CENTER - FAIRFIELD,NUCKOLLS,652005010,CLAY CO LEARNING CENTER - FAIRFIELD,PREK ONLY                     ,PK-PK,53,,,MASKED DATA,
2014-2015,NUCKOLLS-LAWRENCE EARLY LEARNING CENTER,NUCKOLLS,652005011,LAWRENCE EARLY LEARNING CENTER,PREK ONLY                     ,PK-PK,31,,,MASKED DATA,
2014-2015,NUCKOLLS-SANDY CREEK MIDDLE SCHOOL,NUCKOLLS,652005012,SANDY CREEK MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-06-08,94,41,0.4362,,
2014-2015,OTOE-HIGH SCHOOL AT SYRACUSE,OTOE,660027001,HIGH SCHOOL AT SYRACUSE,HIGH SCHOOL                   ,2016-09-12,231,34,0.1472,,
2014-2015,OTOE-ELEMENTARY SCHOOL AT SYRACUSE,OTOE,660027003,ELEMENTARY SCHOOL AT SYRACUSE,ELEMENTARY                    ,PK-03,236,67,0.2839,,
2014-2015,OTOE-MIDDLE SCHOOL AT SYRACUSE,OTOE,660027006,MIDDLE SCHOOL AT SYRACUSE,MIDDLE SCHOOL                 ,2016-04-08,256,73,0.2852,,
2014-2015,OTOE-NEBRASKA CITY HIGH SCHOOL,OTOE,660111001,NEBRASKA CITY HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,431,171,0.3968,,
2014-2015,OTOE-NEBRASKA CITY MIDDLE SCHOOL,OTOE,660111002,NEBRASKA CITY MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-06-08,317,145,0.4574,,
2014-2015,OTOE-NEBRASKA CITY NORTHSIDE ELEM,OTOE,660111004,NEBRASKA CITY NORTHSIDE ELEM,ELEMENTARY                    ,PK-02,365,182,0.4986,,
2014-2015,OTOE-HAYWARD ELEMENTARY SCHOOL,OTOE,660111006,HAYWARD ELEMENTARY SCHOOL,ELEMENTARY                    ,2016-03-05,303,160,0.5281,,
2014-2015,OTOE-JR-SR HIGH SCHOOL AT PALMYRA,OTOE,660501001,JR-SR HIGH SCHOOL AT PALMYRA,SECONDARY                     ,2016-07-12,184,49,0.2663,,
2014-2015,OTOE-ELEMENTARY AT BENNET,OTOE,660501003,ELEMENTARY AT BENNET,ELEMENTARY                    ,PK-06,295,53,0.1797,,
2014-2015,OTOE-LOURDES CENTRAL HIGH SCHOOL,OTOE,660701001,LOURDES CENTRAL HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,98,18,0.1837,,
2014-2015,OTOE-LOURDES PRIMARY SCHOOL,OTOE,660701003,LOURDES PRIMARY SCHOOL,ELEMENTARY                    ,PK-05,201,32,0.1592,,
2014-2015,OTOE-LOURDES CENTRAL MIDDLE SCHOOL,OTOE,660701004,LOURDES CENTRAL MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-06-08,64,11,0.1719,,
2014-2015,PAWNEE-PAWNEE CITY SECONDARY SCHOOL,PAWNEE,670001001,PAWNEE CITY SECONDARY SCHOOL,SECONDARY                     ,2016-07-12,146,69,0.4726,,
2014-2015,PAWNEE-PAWNEE CITY ELEMENTARY SCH,PAWNEE,670001002,PAWNEE CITY ELEMENTARY SCH,ELEMENTARY                    ,PK-06,151,73,0.4834,,
2014-2015,PAWNEE-LEWISTON HIGH SCHOOL,PAWNEE,670069001,LEWISTON HIGH SCHOOL,SECONDARY                     ,2016-07-12,71,36,0.507,,
2014-2015,PAWNEE-LEWISTON ELEMENTARY SCHOOL,PAWNEE,670069002,LEWISTON ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,108,50,0.463,,
2014-2015,PERKINS-PERKINS COUNTY HIGH SCHOOL,PERKINS,680020001,PERKINS COUNTY HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,122,42,0.3443,,
2014-2015,PERKINS-PERKINS COUNTY ELEMENTARY SCH,PERKINS,680020002,PERKINS COUNTY ELEMENTARY SCH,ELEMENTARY                    ,PK-05,230,82,0.3565,,
2014-2015,PERKINS-PERKINS COUNTY JR HIGH SCHOOL,PERKINS,680020003,PERKINS COUNTY JR HIGH SCHOOL,MIDDLE SCHOOL                 ,2016-06-08,75,28,0.3733,,
2014-2015,PHELPS-HOLDREGE HIGH SCHOOL,PHELPS,690044001,HOLDREGE HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,333,87,0.2613,,
2014-2015,PHELPS-HOLDREGE MIDDLE SCHOOL,PHELPS,690044003,HOLDREGE MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-05-08,359,106,0.2953,,
2014-2015,PHELPS-FRANKLIN ELEMENTARY SCHOOL,PHELPS,690044004,FRANKLIN ELEMENTARY SCHOOL,ELEMENTARY                    ,K -03,142,61,0.4296,,
2014-2015,PHELPS-WASHINGTON ELEMENTARY SCHOOL,PHELPS,690044007,WASHINGTON ELEMENTARY SCHOOL,ELEMENTARY                    ,K -04,144,71,0.4931,,
2014-2015,PHELPS-HOLDREGE PUBLIC SCHOOLS EARLY CHILDHOOD ED CTR,PHELPS,690044008,HOLDREGE PUBLIC SCHOOLS EARLY CHILDHOOD ED CTR,PREK ONLY                     ,PK-PK,43,25,0.5814,,
2014-2015,PHELPS-R7 ELEMENTARY SCHOOL,PHELPS,690044011,R7 ELEMENTARY SCHOOL,ELEMENTARY                    ,K -04,86,18,0.2093,,
2014-2015,PHELPS-BERTRAND HIGH SCHOOL,PHELPS,690054001,BERTRAND HIGH SCHOOL,SECONDARY                     ,2016-07-12,118,37,0.3136,,
2014-2015,PHELPS-BERTRAND ELEMENTARY SCHOOL,PHELPS,690054002,BERTRAND ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,161,78,0.4845,,
2014-2015,PHELPS-LOOMIS SECONDARY SCHOOL,PHELPS,690055001,LOOMIS SECONDARY SCHOOL,SECONDARY                     ,2016-07-12,93,32,0.3441,,
2014-2015,PHELPS-LOOMIS ELEMENTARY SCHOOL,PHELPS,690055002,LOOMIS ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,113,32,0.2832,,
2014-2015,PHELPS-ALL SAINTS CATHOLIC SCHOOL,PHELPS,690705001,ALL SAINTS CATHOLIC SCHOOL,ELEMENTARY                    ,PK-04,62,,,MASKED DATA,
2014-2015,PIERCE-PIERCE JR/SR HIGH SCHOOL,PIERCE,700002001,PIERCE JR/SR HIGH SCHOOL,SECONDARY                     ,2016-07-12,311,46,0.1479,,
2014-2015,PIERCE-PIERCE ELEMENTARY SCHOOL,PIERCE,700002002,PIERCE ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,352,90,0.2557,,
2014-2015,PIERCE-PLAINVIEW SECONDARY SCHOOL,PIERCE,700005001,PLAINVIEW SECONDARY SCHOOL,SECONDARY                     ,2016-07-12,166,53,0.3193,,
2014-2015,PIERCE-PLAINVIEW ELEMENTARY SCHOOL,PIERCE,700005002,PLAINVIEW ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,167,76,0.4551,,
2014-2015,PIERCE-OSMOND HIGH SCHOOL,PIERCE,700542001,OSMOND HIGH SCHOOL,SECONDARY                     ,2016-07-12,115,34,0.2957,,
2014-2015,PIERCE-OSMOND ELEMENTARY SCHOOL,PIERCE,700542002,OSMOND ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,101,43,0.4257,,
2014-2015,PIERCE-ZION LUTHERAN ELEMENTARY SCH,PIERCE,700701001,ZION LUTHERAN ELEMENTARY SCH,ELEMENTARY                    ,PK-08,104,10,0.0962,,
2014-2015,PIERCE-ZION LUTHERAN ELEMENTARY SCH,PIERCE,700702001,ZION LUTHERAN ELEMENTARY SCH,ELEMENTARY                    ,PK-08,31,,,MASKED DATA,
2014-2015,PIERCE-IMMANUEL LUTHERAN ELEM SCH,PIERCE,700703001,IMMANUEL LUTHERAN ELEM SCH,ELEMENTARY                    ,PK-08,29,,,MASKED DATA,
2014-2015,PIERCE-ST MARY ELEMENTARY SCHOOL,PIERCE,700705001,ST MARY ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-08,47,15,0.3191,,
2014-2015,PLATTE-COLUMBUS HIGH SCHOOL,PLATTE,710001001,COLUMBUS HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,1142,481,0.4212,,
2014-2015,PLATTE-COLUMBUS MIDDLE SCHOOL,PLATTE,710001002,COLUMBUS MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-06-08,846,446,0.5272,,
2014-2015,PLATTE-EMERSON ELEMENTARY SCHOOL,PLATTE,710001003,EMERSON ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,330,179,0.5424,,
2014-2015,PLATTE-NORTH PARK ELEMENTARY,PLATTE,710001006,NORTH PARK ELEMENTARY,ELEMENTARY                    ,K -05,330,198,0.6,,
2014-2015,PLATTE-WEST PARK ELEMENTARY,PLATTE,710001007,WEST PARK ELEMENTARY,ELEMENTARY                    ,K -05,296,161,0.5439,,
2014-2015,PLATTE-LOST CREEK ELEMENTARY SCH,PLATTE,710001011,LOST CREEK ELEMENTARY SCH,ELEMENTARY                    ,K -05,352,149,0.4233,,
2014-2015,PLATTE-CENTENNIAL ELEMENTARY SCHOOL,PLATTE,710001012,CENTENNIAL ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,433,273,0.6305,,
2014-2015,PLATTE-PATHWAYS BEYOND/EARLY STEPS TO SUCCESS BUILDING,PLATTE,710001300,PATHWAYS BEYOND/EARLY STEPS TO SUCCESS BUILDING,PREK ONLY                     ,PK-PK,11,,,MASKED DATA,
2014-2015,PLATTE-LAKEVIEW HIGH SCHOOL,PLATTE,710005001,LAKEVIEW HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,264,92,0.3485,,
2014-2015,PLATTE-SHELL CREEK ELEMENTARY SCHOOL,PLATTE,710005003,SHELL CREEK ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,262,98,0.374,,
2014-2015,PLATTE-PLATTE CENTER ELEMENTARY SCH,PLATTE,710005004,PLATTE CENTER ELEMENTARY SCH,ELEMENTARY                    ,K -06,124,68,0.5484,,
2014-2015,PLATTE-LAKEVIEW JUNIOR HIGH SCHOOL,PLATTE,710005006,LAKEVIEW JUNIOR HIGH SCHOOL,MIDDLE SCHOOL                 ,2016-07-08,126,50,0.3968,,
2014-2015,PLATTE-HUMPHREY JR-SR HIGH SCHOOL,PLATTE,710067001,HUMPHREY JR-SR HIGH SCHOOL,SECONDARY                     ,2016-07-12,117,35,0.2991,,
2014-2015,PLATTE-HUMPHREY ELEMENTARY SCHOOL,PLATTE,710067002,HUMPHREY ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,146,46,0.3151,,
2014-2015,PLATTE-IMMANUEL LUTHERAN ELEM SCHOOL,PLATTE,710701001,IMMANUEL LUTHERAN ELEM SCHOOL,ELEMENTARY                    ,PK-08,175,22,0.1257,,
2014-2015,PLATTE-ST ANTHONY ELEMENTARY SCHOOL,PLATTE,710702001,ST ANTHONY ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,102,32,0.3137,,
