CSD_ID,Season,County,year_group,count,average_level
404954000000000,Fall,DAWSON,201,1,11.76
404403000000000,Fall,DAWSON,201,1,1.68
403855000000000,Fall,SALINE,201,4,105.02
404620000000000,Fall,PERKINS,201,4,192.8375
404634000000000,Fall,LINCOLN,201,1,174.53
405241000000000,Fall,DAWSON,201,1,33.47
404800000000000,Fall,DAWSON,201,1,42.33
411845000000000,Fall,SAUNDERS,201,1,44.33
404844000000000,Fall,LANCASTER,201,1,83.3
404850000000000,Fall,DAWSON,201,1,12.35
413042000000000,Fall,VALLEY,201,1,7.1
414321000000000,Fall,GARDEN,201,1,6.89
410426000000000,Fall,SAUNDERS,201,4,5.3225
403626000000000,Fall,LANCASTER,201,1,78.41
413130000000000,Fall,MCPHERSON,201,1,104.52
414414000000000,Fall,CUSTER,201,1,49.98
414452000000000,Fall,GARDEN,201,1,6.54
414607000000000,Fall,GARDEN,201,5,2.168
404006000000000,Fall,PHELPS,201,1,1.92
403211000000000,Fall,ADAMS,201,2,127.08
411007000000000,Fall,CUSTER,201,1,206.45
405727000000000,Fall,LANCASTER,201,2,7.55
410806000000000,Fall,SAUNDERS,201,4,4.31
410806000000000,Fall,DEUEL,201,3,11.07333333333333333333333333
410427000000000,Fall,SAUNDERS,201,9,12.28777777777777777777777778
410611000000000,Fall,SHERMAN,201,1,20.96
411004000000000,Fall,KIMBALL,201,3,123.6133333333333333333333333
411557000000000,Fall,LINCOLN,201,3,99.52333333333333333333333333
412807000000000,Fall,DODGE,201,1,6.97
412810000000000,Fall,COLFAX,201,2,8.64
412810000000000,Fall,MCPHERSON,201,2,99.80
413354000000000,Fall,WASHINGTON,201,3,16.11666666666666666666666667
413354000000000,Fall,DODGE,201,3,71.89333333333333333333333333
414348000000000,Fall,DODGE,201,3,27.78
414348000000000,Fall,PLATTE,201,1,35.95
423023000000000,Fall,DIXON,201,2,155.03
423546000000000,Fall,BROWN,201,1,45.37
403403000000000,Fall,ADAMS,201,1,117.22
414834000000000,Fall,MADISON,201,1,77.26
410332000000000,Fall,LINCOLN,201,3,139.79
410332000000000,Fall,SAUNDERS,201,3,19.98666666666666666666666667
411124000000000,Fall,CHEYENNE,201,3,45.99333333333333333333333333
402840000000000,Fall,CLAY,201,4,98.04
414413000000000,Fall,CUSTER,201,1,4.71
414518000000000,Fall,GRANT,201,2,7.57
423332000000000,Fall,CEDAR,201,2,112.43
414659000000000,Fall,CUMING,201,3,5.696666666666666666666666667
423341000000000,Fall,ROCK,201,1,5.97
